album_path,year,missing_tracks,missing_nums,domain,download_url,post_url,match_type
2016 - Juliana Perdigão & Os Kurva - Ó,2016,220,"13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235",mediafire.com,http://www.mediafire.com/download/otby2plk0pgsi2q/Juliana+Perdig%C3%A3o+%26+Os+Kurva+-+%C3%93+%282016%29.rar,https://www.hominiscanidae.org/2016/09/juliana-perdigao-os-kurva-o-2016.html,exact
to_fix,,180,"55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235",,,,no_post
2019 - Jards Macalé - HOMINIS CANIDAE - #HITSBR,2019,13,"3,5,7,10,13,14,17,22,23,25,26,27,28",mega.nz,https://mega.nz/#!AllTCSLB!UlDdn935OZZZVHs5e7H15_HUdbU-uWfbMasgZZwDVS0,https://www.hominiscanidae.org/2019/03/jards-macale-besta-fera-2019.html,exact
2022 - MC Berro D'Água - Versando,2022,11,"4,6,7,8,9,10,11,12,13,14,15",archive.org,https://archive.org/compress/ncp-112-mc-berro-dagua-versando/formats=VBR%20MP3&file=/ncp-112-mc-berro-dagua-versando.zip,https://www.hominiscanidae.org/2022/09/mc-berro-dagua-versando-2022.html,exact
2014 - Cinval CocoGrude - O Brasil acordou,2014,11,"5,6,7,10,12,13,14,16,17,18,19",mega.co.nz,https://mega.co.nz/#!iMNjGBLD!hRLsDIqF4mTZ8qSeqc7JtK0EFsr4ULOLJGR9auk41XI,https://www.hominiscanidae.org/2014/11/cinval-cocogrude-o-brasil-acordou-2014.html,exact
2025 - Satanique Samba Trio - Hominis Canidae #185 - Outubro,2025,11,"3,4,5,7,8,9,10,11,13,14,16",mega.nz,https://mega.nz/#!8klzlSKa!6EBRKVWwfwOWHqNqRHAAOR_8fTf8BFgQLUfgisZA8Wk,https://www.hominiscanidae.org/2009/12/satanique-samba-trio-2007.html,exact
2022 - Jack Zaferes - Hominis Canidae - Sons do Mundo (Abril 2022),2022,10,"7,9,10,12,13,14,17,18,21,22",archive.org,https://archive.org/compress/hominis-canidae-144-maio-2022/formats=VBR%20MP3&file=/hominis-canidae-144-maio-2022.zip,https://www.hominiscanidae.org/2022/05/hominis-canidae-144-maio-2022.html,exact
2024 - Echorec Face - Hominis Canidae #164 - Janeiro,2024,10,"4,5,6,7,8,9,10,11,12,13",mediafire.com,https://www.mediafire.com/file/w6e3eexny5uw0if/Echorec_Face_-_The_Ital_Cookbook_%25282023%2529.rar/file,https://www.hominiscanidae.org/2024/01/echorec-face-ital-cookbook-2023.html,exact
2021 - Leonel - Hominis Canidae #134 - Julho,2021,10,"5,6,8,9,10,11,12,13,14,15",mega.nz,https://mega.nz/file/FDw02aAa#9LP810ScRkoOlKObxCOat9JD3jQXLwBFh5bZwATtpRA,https://www.hominiscanidae.org/2021/07/leonel-leonel-ii-2021.html,exact
2023 - Wilson Das Neves - Senzala e Favela,2023,10,"6,7,9,10,11,12,14,15,16,17",mega.nz,https://mega.nz/file/sGYzWYLS#2o2ru9J51B8DmoQlCzfAtm6VhCgtfHu6KZeSfT_OG-c,https://www.hominiscanidae.org/2023/07/wilson-das-neves-senzala-e-favela-2023.html,exact
2021 - Hanni Palecter - Hominis Canidae - #HITSBR,2021,9,"5,6,7,9,11,13,15,16,17",bandcamp.com,https://bandcamp.com/download?id=2983178060&ts=1619141068.3723637306&tsig=f7bed392e796edd16ded676a9917c846&type=album,https://www.hominiscanidae.org/2021/04/hanni-palecter-creca-2021.html,exact
2022 - Tiago Sá - Hominis Canidae #140 - Janeiro,2022,9,"4,5,10,11,12,13,14,15,16",bandcamp.com,https://bandcamp.com/download?id=3778745346&ts=1652451669.1931664846&tsig=d987c42df3e9afc302e068e4d3e79e72&type=album,https://www.hominiscanidae.org/2022/05/tiago-sa-musica-pra-te-agucar-2022.html,exact
2023 - Economic Freedom Fighters Economic Freedom Fighters - Hominis Canidae #158 - Julho,2023,9,"3,4,5,6,7,9,10,11,12",bandcamp.com,https://bandcamp.com/download?id=1686202815&ts=1688152060.1467750457&tsig=c7b46fd339f031d7d338c122e319a659&type=album,https://www.hominiscanidae.org/2023/07/economic-freedom-fighters-respeita-os.html,exact
"2007 - Costa a Costa - Mixtape Dinheiro,Sexo, Drogas e Violência de Costa a Costa",2007,9,"7,9,10,11,14,15,16,20,21",mega.co.nz,https://mega.co.nz/#!Pc1wWKhI!vVoGuMe9CqfQqqdcFzZzJ7lWgZIQgE4Dv45mJ5qk3Vk,https://www.hominiscanidae.org/2012/06/costa-costa-mixtape-sexo-drogas-e.html,exact
2023 - Hiago Farias - NINGUÉM É FORTE SOZINHO Coletânea Yuri Costa,2023,9,"9,14,15,20,21,25,29,31,35",mega.nz,https://mega.nz/file/kLImjJDC#ThC0SpUNpl6wZFMZUqqI3DXrIh8JpZwxEE5OnLwy0go,https://www.hominiscanidae.org/2023/06/vic-brow-ninguem-e-tao-ocupado-assim.html,exact
