path,slug,title,artist,year,track_file,md_exists,bc_url,bc_type,folder_exists,n_files
2026 - Afterhourless No Friends At Dusk,afterhourless-no-friends-at-dusk-2025,Afterhourless No Friends At Dusk,,2026,afterhourless-no-friends-at-dusk-2025.mp3,True,https://shorediverecords.bandcamp.com/album/no-friends-at-dusk,album,True,2
2026 - Bruxa Do Mangue Antifa Ep,bruxa-do-mangue-antifa-ep-2026,Bruxa Do Mangue Antifa Ep,,2026,bruxa-do-mangue-antifa-ep-2026.mp3,True,https://nightmarecho.bandcamp.com/album/antifa-ep,album,True,2
2026 - Cement Tea,cement-tea-2026,Cement Tea,,2026,cement-tea-2026.mp3,True,https://cementtea.bandcamp.com/album/--3,album,True,2
2026 - Clovis Cosmo Vastopasto E Os,clovis-cosmo-vastopasto-e-os,Clovis Cosmo Vastopasto E Os,,2026,clovis-cosmo-vastopasto-e-os.mp3,True,https://cloviscosmo.bandcamp.com/album/vastopasto-e-os-cerradofuturistas-sequestraram-a-rel-giocomotiva,album,True,2
2026 - Echo Upstairs Nossas Sombras Serao,echo-upstairs-nossas-sombras-serao,Echo Upstairs Nossas Sombras Serao,,2026,echo-upstairs-nossas-sombras-serao.mp3,True,https://echoupstairsmm.bandcamp.com/album/nossas-sombras-ser-o-guas,album,True,2
2026 - Emecê - Desbatizado,fabio-emece-preto-velho-2018,Desbatizado,Emecê,2026,fabio-emece-preto-velho-2018.mp3,True,https://fabioemece.bandcamp.com,generic,True,2
2026 - Germano Da Silva Feitico De Mestico,germano-da-silva-feitico-de-mestico-2025,Germano Da Silva Feitico De Mestico,,2026,germano-da-silva-feitico-de-mestico-2025.mp3,True,https://germanodasilva.bandcamp.com/album/feiti-o-de-mesti-o,album,True,2
2026 - God Pussy - Favela Gore,god-pussy-degenerate-landscape-2017,Favela Gore,God Pussy,2026,god-pussy-degenerate-landscape-2017.mp3,True,https://godpussy.bandcamp.com,generic,True,2
2026 - Gringos De Abril Mais Uma Volta Ao,gringos-de-abril-mais-uma-volta-ao,Gringos De Abril Mais Uma Volta Ao,,2026,gringos-de-abril-mais-uma-volta-ao.mp3,True,https://floatingsheep.bandcamp.com/album/floating-sheep,album,True,2
2026 - Gringos De Fevereiro O Que Ha De Mais,gringos-de-fevereiro-o-que-ha-de-mais,Gringos De Fevereiro O Que Ha De Mais,,2026,gringos-de-fevereiro-o-que-ha-de-mais.mp3,True,https://atadune.bandcamp.com/album/tekosa,album,True,2
2026 - Gringos De Janeiro Um Passeio Pelo,gringos-de-janeiro-um-passeio-pelo,Gringos De Janeiro Um Passeio Pelo,,2026,gringos-de-janeiro-um-passeio-pelo.mp3,True,https://eq-sub-label.bandcamp.com/album/liebe,album,True,2
2026 - Gringos De Marco Essa Mistura De,gringos-de-marco-essa-mistura-de,Gringos De Marco Essa Mistura De,,2026,gringos-de-marco-essa-mistura-de.mp3,True,https://w-berg.bandcamp.com/album/highland-village-2,album,True,2
2026 - HAYZ - 2026 - HAYZ - Hayz Nao Estamos Mais Em Casa,hayz-nao-estamos-mais-em-casa-2019,2026 - HAYZ - Hayz Nao Estamos Mais Em Casa,HAYZ,2026,hayz-nao-estamos-mais-em-casa-2019.mp3,True,https://hayz.bandcamp.com,generic,True,2
2026 - Humbra - Tratados do Amor Próprio (Flowed Fuzz),humbra-tempos-mal-vividos-ep-2016,Tratados do Amor Próprio (Flowed Fuzz),Humbra,2026,humbra-tempos-mal-vividos-ep-2016.mp3,True,https://bandahumbra.bandcamp.com,generic,True,2
2026 - Infinita Madrugada - Linhas Tortas Você Não Me Conhece,01. Linhas Tortas,Linhas Tortas Você Não Me Conhece,Infinita Madrugada,2026,01. Linhas Tortas.mp3,False,,none,True,2
2026 - Kaatayra - Caminhos de Água,kaatayra-nascido-sob-o-signo,Caminhos de Água,Kaatayra,2026,kaatayra-nascido-sob-o-signo.mp3,True,https://kaatayra.bandcamp.com,generic,True,2
2026 - Kabeca Cheia Demais,kabeca-cheia-demais-2025,Kabeca Cheia Demais,,2026,kabeca-cheia-demais-2025.mp3,True,https://kabecacheia.bandcamp.com/album/demais,album,True,2
2026 - Larva Serrote Signo Estrelado,larva-serrote-signo-estrelado-2026,Larva Serrote Signo Estrelado,,2026,larva-serrote-signo-estrelado-2026.mp3,True,https://yaelfct.bandcamp.com/album/signo-estrelado,album,True,2
2026 - Med Zentorno - Enredo,pressagio-demo-wpp-2-2020,Enredo,Med Zentorno,2026,pressagio-demo-wpp-2-2020.mp3,True,https://thiagomiazzo.bandcamp.com/album/demo-wpp-2,album,True,2
"2026 - Nobat, brandu - 2026 - Nobat, brandu - Nobat Insonia",nobat-insonia-2014,"2026 - Nobat, brandu - Nobat Insonia","Nobat, brandu",2026,nobat-insonia-2014.mp3,True,https://nobat.bandcamp.com,generic,True,2
"2026 - NoiseRed -Underground Manifesto - Diferentes Bandeiras, o mesmo Inimigo vol.2",coletanea-noisered-diferentes-bandeiras,"Underground Manifesto - Diferentes Bandeiras, o mesmo Inimigo vol.2",NoiseRed,2026,coletanea-noisered-diferentes-bandeiras.mp3,True,https://noisered.bandcamp.com/album/diferentes-bandeiras-o-mesmo-inimigo-vol-2,album,True,2
2026 - O Espaco E Um Lugar Frio E Vazio,o-espaco-e-um-lugar-frio-e-vazio,O Espaco E Um Lugar Frio E Vazio,,2026,o-espaco-e-um-lugar-frio-e-vazio.mp3,True,https://outonodiscos.bandcamp.com/album/semimetais-single,album,True,2
2026 - Odradek Horror Vacui,odradek-horror-vacui-2026,Odradek Horror Vacui,,2026,odradek-horror-vacui-2026.mp3,True,https://odradekbr.bandcamp.com/album/horror-vacui,album,True,2
2026 - pandUkkyi - Canções... Blérgh! Para Amores Perdedores,pandukkyi-shiawase-2020,Canções... Blérgh! Para Amores Perdedores,pandUkkyi,2026,pandukkyi-shiawase-2020.mp3,True,https://pandukkyi.bandcamp.com,generic,True,2
2026 - Parque Da Sao Ideograma,parque-da-sao-ideograma-2025,Parque Da Sao Ideograma,,2026,parque-da-sao-ideograma-2025.mp3,True,https://selokirecords.bandcamp.com/album/ideograma,album,True,2
2026 - Realidade Encoberta - Big Tech Über Alles,realidade-encoberta-nao-vivamos-mais,Big Tech Über Alles,Realidade Encoberta,2026,realidade-encoberta-nao-vivamos-mais.mp3,True,https://realidadeencoberta.bandcamp.com,generic,True,2
2026 - Sendero Veneco - SENDERO VENECO - VOL.1 PROGRECALIPSIS,lolo-soundsystem-lolo-soundsystem-2020,SENDERO VENECO - VOL.1 PROGRECALIPSIS,Sendero Veneco,2026,lolo-soundsystem-lolo-soundsystem-2020.mp3,True,https://prolapsorecords.bandcamp.com,generic,True,2
2026 - Tomentosa Tez - CANCÃO,tomentosa-tez-cancao-2026,CANCÃO,Tomentosa Tez,2026,tomentosa-tez-cancao-2026.mp3,True,https://tomentosatez.bandcamp.com/album/canc-o,album,True,2
2026 - Velha Velha,velha-velha-2026,Velha Velha,,2026,velha-velha-2026.mp3,True,https://midsummermadness.bandcamp.com/album/velha,album,True,2
